id,name,lat,lng,type
A01,แมว,13.84577695,100.5710551,animal
A02,ตัวเงินตัวทอง,13.84072359,100.575321,animal
A02,ตัวเงินตัวทอง,13.84130585,100.5755092,animal
A02,ตัวเงินตัวทอง,13.84138947,100.5735858,animal
A02,ตัวเงินตัวทอง,13.84212347,100.5745427,animal
A02,ตัวเงินตัวทอง,13.84723834,100.5645266,animal
A02,ตัวเงินตัวทอง,13.84991481,100.5676705,animal
A02,ตัวเงินตัวทอง,13.84754924,100.5687482,animal
A02,ตัวเงินตัวทอง,13.84748674,100.569223,animal
A02,ตัวเงินตัวทอง,13.85475617,100.5684819,animal
A02,ตัวเงินตัวทอง,13.8545645,100.569485,animal
A03,สุนัข,13.84196393,100.5763785,animal
A03,สุนัข,13.84170215,100.5744704,animal
A03,สุนัข,13.84253441,100.5712165,animal
A03,สุนัข,13.84784314,100.5642332,animal
A03,สุนัข,13.84806227,100.5656557,animal
A03,สุนัข,13.84858901,100.5690695,animal
A03,สุนัข,13.85006549,100.5688354,animal
A03,สุนัข,13.85213886,100.5654804,animal
A03,สุนัข,13.85238368,100.5690798,animal
T01,ต้นเมเปิ้ลหอม,13.85017613,100.5686001,tree
T02,ต้นเสม็ดขาว,13.84601993,100.5726571,tree
T03,ต้นเหลืองอินเดีย,13.84984558,100.5664558,tree
T03,ต้นเหลืองอินเดีย,13.84982084,100.5665088,tree
T04,ต้นแก้วเจ้าจอม,13.84993186,100.5687368,tree
T05,ต้นแดง,13.85009298,100.5663016,tree
T06,ต้นโมกมัน,13.84738674,100.564819,tree
T07,ต้นโมกหลวง,13.84514229,100.5721153,tree
T08,ต้นกระท่อม,13.84947892,100.5685832,tree
T09,ต้นกระพี้จั่น,13.84269123,100.5718538,tree
T09,ต้นกระพี้จั่น,13.84800407,100.5683865,tree
T10,ต้นการบูร,13.84942871,100.566342,tree
T11,ต้นคะเคียนทอง,13.84736368,100.5644091,tree
T12,ต้นคำเงาะ,13.84693871,100.5636373,tree
T13,ต้นจันทร์กระพ้อ,13.84751304,100.5644391,tree
T13,ต้นจันทร์กระพ้อ,13.84782333,100.56399,tree
T14,ต้นจำปี,13.84788193,100.5638539,tree
T15,ต้นตะเคียนทอง,13.84827747,100.5628028,tree
T15,ต้นตะเคียนทอง,13.84760901,100.5625031,tree
T15,ต้นตะเคียนทอง,13.84742486,100.5625031,tree
T15,ต้นตะเคียนทอง,13.85010926,100.5663774,tree
T34,ต้นตะเคียนทองติดผล,13.85028358,100.5687359,tree
T16,ต้นตะแบกนา,13.8475243,100.5636733,tree
T16,ต้นตะแบกนา,13.84803985,100.5667306,tree
T17,ต้นตีนเป็ดทะเล,13.84600942,100.5674623,tree
T17,ต้นตีนเป็ดทะเล,13.84989311,100.5663378,tree
T18,ต้นพะยูง,13.85017033,100.5687899,tree
T19,ต้นพะยูงติดผล,13.85025133,100.5678414,tree
T20,ต้นมะเกลือ,13.84815409,100.5627611,tree
T20,ต้นมะเกลือ,13.84533761,100.5744274,tree
T20,ต้นมะเกลือ,13.85019241,100.5686128,tree
T20,ต้นมะเกลือ,13.84971997,100.5661232,tree
T21,ต้นมะตาด,13.84485061,100.572126,tree
T22,ต้นยางนา,13.84976611,100.5662684,tree
T23,ต้นยางพารา,13.85007365,100.5689303,tree
T23,ต้นยางพารา,13.85020439,100.5689075,tree
T24,ต้นรัง,13.84216163,100.5716464,tree
T24,ต้นรัง,13.84745248,100.5638725,tree
T25,ต้นลำดวน,13.84696506,100.5706762,tree
T25,ต้นลำดวน,13.84948291,100.5691301,tree
T25,ต้นลำดวน,13.84955192,100.5691918,tree
T27,ต้นลำพู,13.85390676,100.5693765,tree
T28,ต้นศรีตรัง,13.84958419,100.5665179,tree
T29,ต้นสัตบรรณ,13.84589223,100.5676849,tree
T29,ต้นสัตบรรณ,13.84814935,100.566725,tree
T30,ต้นสำเดา,13.84701067,100.5686819,tree
T31,ต้นสำโรง,13.84739102,100.5644145,tree
T31,ต้นสำโรง,13.85392499,100.5699103,tree
T31,ต้นสำโรง,13.84925325,100.567519,tree
T32,ต้นอินทนิลน้ำ,13.84040363,100.5750951,tree
T33,ต้นอินทนิลบก,13.84531852,100.5661866,tree
T33,ต้นอินทนิลบก,13.85313072,100.5701248,tree
W01,ดอกบัว,13.84734692,100.5645063,water
W02,ผักตบชวา,13.84839877,100.5623556,water
W02,ผักตบชวา,13.84777819,100.5620047,water
W02,ผักตบชวา,13.84708028,100.5643415,water
W02,ผักตบชวา,13.84155392,100.5733451,water
W02,ผักตบชวา,13.84133711,100.5737804,water
W02,ผักตบชวา,13.84201715,100.574717,water
W02,ผักตบชวา,13.84056301,100.5750869,water
W02,ผักตบชวา,13.84067032,100.5754771,water
W02,ผักตบชวา,13.84114555,100.5758064,water
W02,ผักตบชวา,13.84142367,100.5755425,water
W02,ผักตบชวา,13.84751096,100.5685712,water
W02,ผักตบชวา,13.84783304,100.5693128,water
W02,ผักตบชวา,13.84949552,100.5676983,water
W02,ผักตบชวา,13.84975208,100.5658595,water
W02,ผักตบชวา,13.85016485,100.5665112,water
